Arrogant,Entitled,Insulting,Trolling,Unprofessional
0.04,0.25,0.83,0.78,0.67
0.08,0.05,0.62,0.36,0.03
0.14,0.03,0.16,0.57,0.86
0.04,0.09,0.33,0.25,0.47
0.06,0.2,0.87,0.59,0.46
0.1,0.03,0.63,0.28,0.58
0.11,0.22,0.02,0.86,0.49
0.01,0.73,0.01,0.25,0.69
0.22,0.05,0.3,0.61,0.44
0.6,,0.75,0.02,0.02
0.05,,0.3,0.33,0.88
0.03,,0.07,0.08,0.75
,,0.54,0.06,0.73
,,0.02,,0.26
,,0.29,,0.02
,,0.38,,0.3
,,0.73,,
,,0.59,,
,,0.44,,
,,0.02,,
,,0.05,,
,,0.03,,
,,0.03,,
,,0.14,,
,,0.2,,
,,0.25,,
,,0.23,,
,,0.34,,
,,0.33,,
,,0.49,,
,,0.43,,
,,0.33,,
,,0.47,,
,,0.12,,
,,0.29,,
,,0.43,,
,,0.48,,
,,0.91,,
,,0.01,,
,,0.48,,
,,0.01,,
,,0.02,,
,,0.16,,
,,0.4,,
,,0.12,,
,,0.43,,
,,0.33,,
,,0.03,,
,,0.08,,
,,0.85,,
,,0.03,,
,,0.34,,
,,0.66,,
,,0.33,,
,,0.14,,
,,0.2,,
,,0.64,,
,,0.15,,
,,0.02,,
,,0.2,,
,,0.06,,
,,0.08,,
,,0.03,,
,,0.46,,
,,0.08,,
,,0.2,,
,,0.44,,
,,0.58,,
,,0.12,,
,,0.2,,
,,0.03,,
,,0.02,,
,,0.29,,
,,0.48,,
,,0.09,,
,,0.63,,
